"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit"
2025-12-01,2025-12-15,,0,1387769,644682,2.152641,5.261575,,1.543397,,,,,,,,00:00:00,,,,,,,,7301.85,0,0,0,0
2025-12-01,2025-12-15,ad_1,not_delivering,3617,2838,1.274489,14.506497,27,0.951374,1.943333,583,45,20,14,10,10,3,,,1,52.47,,,,52.47,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_situazione_particolare,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_2,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_5,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_3,active,34797,26002,1.338243,6.438773,219,0.842243,0.991372,5945,535,325,193,110,86,4,,,25,8.962,13,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,17.23461538,224.05,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_7,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_4,active,18761,12266,1.529512,12.076115,121,0.986467,1.783937,2357,209,107,71,39,33,3,,,17,13.327059,6,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,37.76,226.56,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,ad_6,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0
2025-12-01,2025-12-15,"VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW - Copy",active,45463,31563,1.440389,3.27761,374,1.184932,0.387039,12265,1535,795,562,334,300,5,,,12,12.4175,12,conversions:offsite_conversion.fb_pixel_custom.generate_lead,12.4175,149.01,"Using campaign budget",0,2025-11-10,0
2025-12-01,2025-12-15,"HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V _H1_NEW - Copy",active,22,22,1,10.454545,,0,,11,1,,,,,7,,,,,,,,0.23,"Using campaign budget",0,2025-11-10,0
2025-12-01,2025-12-15,"Video_ad_educational - Copy",not_delivering,2,2,1,0,,0,,1,,,,,,4,,,,,,,,0,"Using campaign budget",0,2025-11-10,0
2025-12-01,2025-12-15,CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO,active,12855,9892,1.299535,17.401011,185,1.870198,1.177316,4678,302,165,106,70,47,6,,,24,9.320417,14,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,15.97785714,223.69,15,Daily,2025-11-11,0
2025-12-01,2025-12-15,CBO_ad_4,active,3,3,1,6.666667,,0,,1,,,,,,2,,,,,,,,0.02,"Using campaign budget",0,2025-11-12,0
2025-12-01,2025-12-15,CBO_BOX_DOMANDE,active,8,8,1,25,,0,,2,1,1,,,,6,,,,,,,,0.2,"Using campaign budget",0,2025-11-12,0
2025-12-01,2025-12-15,CBO_Video_ad_educational,not_delivering,2,2,1,0,,0,,,,,,,,1,,,,,,,,0,"Using campaign budget",0,2025-11-12,0
2025-12-01,2025-12-15,CBO_VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N,active,5152,4612,1.117086,7.705745,41,0.888985,0.968293,1388,141,72,57,32,21,6,,,4,9.925,3,conversions:offsite_conversion.fb_pixel_custom.generate_lead,13.23333333,39.7,"Using campaign budget",0,2025-11-12,0
