"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name","Ad set name"
2025-12-08,2025-12-14,,0,721471,434832,1.659195,5.247446,,1.259107,,,,,,,,00:00:00,,,,,,,,3785.88,0,0,0,0,,
2025-12-08,2025-12-14,ad_1,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_1"
2025-12-08,2025-12-14,ad_situazione_particolare,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_situazione_particolare"
2025-12-08,2025-12-14,ad_2,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_2"
2025-12-08,2025-12-14,ad_5,inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_5"
2025-12-08,2025-12-14,ad_3,active,17300,14439,1.198144,6.109249,116,0.80338,0.873471,3006,280,184,107,64,51,4,,,12,8.8075,5,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,21.138,105.69,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_3"
2025-12-08,2025-12-14,ad_7,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_7"
2025-12-08,2025-12-14,ad_4,active,8936,6426,1.390601,11.861012,55,0.855898,1.892679,1156,101,59,41,19,17,3,,,9,11.776667,4,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,26.4975,105.99,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_4"
2025-12-08,2025-12-14,ad_6,not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP","M/F_25-45_ADV+: ad_6"
2025-12-08,2025-12-14,"VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW - Copy",active,21215,16243,1.306101,3.320764,177,1.0897,0.38288,5685,774,401,284,163,144,5,,,5,14.09,6,conversions:offsite_conversion.fb_pixel_custom.generate_lead,11.74166667,70.45,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,"HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V _H1_NEW - Copy",active,4,4,1,17.5,,0,,2,,,,,,2,,,,,,,,0.07,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,"Video_ad_educational - Copy",not_delivering,1,1,1,0,,0,,,,,,,,1,,,,,,,,0,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO,active,5345,4280,1.248832,19.741815,83,1.939252,1.241412,1957,151,78,52,37,24,6,,,13,8.116923,7,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,15.07428571,105.52,15,Daily,2025-11-11,0,"Test LDP","M/F_25-45_ADV+: CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO"
2025-12-08,2025-12-14,CBO_ad_4,active,1,1,1,0,,0,,,,,,,,1,,,,,,,,0,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,CBO_BOX_DOMANDE,active,5,5,1,36,,0,,2,1,1,,,,9,,,,,,,,0.18,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,CBO_Video_ad_educational,not_delivering,1,1,1,0,,0,,,,,,,,1,,,,,,,,0,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-08,2025-12-14,CBO_VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N,active,4052,3638,1.113799,7.55923,30,0.824629,1.021,1089,102,52,42,25,18,6,,,3,10.21,2,conversions:offsite_conversion.fb_pixel_custom.generate_lead,15.315,30.63,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
