"Reporting starts","Reporting ends","Ad name","Ad delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name","Ad set name"
2025-12-01,2025-12-31,,0,3026661,1119680,2.703148,5.219263,,1.878572,,,,,,,,00:00:00,,,,,,,,15796.94,0,0,0,0,,
2025-12-01,2025-12-31,"VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_NEW - Copy",not_delivering,76177,46763,1.629002,3.520223,656,1.402818,0.385842,21439,2665,1398,985,590,521,5,,,20,13.408,20,conversions:offsite_conversion.fb_pixel_custom.generate_lead,13.408,268.16,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,"HOOK_NEMMENO_500€SUL_CONTO+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V _H1_NEW - Copy",not_delivering,2578,1931,1.33506,8.269977,41,2.123252,0.52,1179,138,90,60,38,33,9,,,4,5.33,4,conversions:offsite_conversion.fb_pixel_custom.generate_lead,5.33,21.32,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,"Video_ad_educational - Copy",not_delivering,2,2,1,0,,0,,1,,,,,,4,,,,,,,,0,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO,not_delivering,27007,18452,1.463635,15.435628,362,1.961847,1.120618,8988,580,323,210,133,91,6,,,46,9.062391,26,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.03346154,416.87,15,Daily,2025-11-11,0,"Test LDP","M/F_25-45_ADV+: CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO"
2025-12-01,2025-12-31,CBO_ad_4,not_delivering,4,4,1,12.5,,0,,1,,,,,,2,,,,,,,,0.05,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,CBO_BOX_DOMANDE,active,30,22,1.363636,12,3,13.636364,0.06,18,16,9,3,1,1,17,,,,,,,,0.36,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,CBO_Video_ad_educational,not_delivering,2,2,1,0,,0,,,,,,,,1,,,,,,,,0,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,CBO_VIDEO_AD_ALESSIA_PASCARELLA_+_ANTONIO_MALINGONICO_N,active,7613,6437,1.182694,8.042821,59,0.916576,1.037797,2097,197,103,86,49,37,6,,,4,15.3075,3,conversions:offsite_conversion.fb_pixel_custom.generate_lead,20.41,61.23,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
2025-12-01,2025-12-31,CBO_VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N,active,603417,398786,1.513135,5.882367,5756,1.443381,0.59021,165404,26016,13712,9198,4917,4061,5,,,426,8.332207,425,conversions:offsite_conversion.fb_pixel_custom.generate_lead,8.35181176,3549.52,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling","M/F_25-45_ADV+:  best creative"
