"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-31,,0,3026661,1119680,2.703148,5.219263,,1.878572,,,,,,,,00:00:00,,,,,,,,15796.94,0,0,0,0,
2025-12-01,2025-12-31,"M/F_25-45_ADV+: Video_ad_educational - CON COMMENTI",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-29,2025-10-29T22:06:13+0100,"Test LDP"
2025-12-01,2025-12-31,"50% ads view 90 days",active,361079,132910,2.716718,1.574475,2,0.001505,284.255,224592,739,444,277,215,186,12,,,,,49152,video_thruplay_watched_actions,0.01156637,568.51,5,Daily,2025-10-31,2025-12-28T22:15:09+0100,"RET | video lungo"
2025-12-01,2025-12-31,"50% ads view 90 days",active,350641,158828,2.207677,1.618864,1,0.00063,567.64,224628,410,204,162,124,115,12,,,,,48574,video_thruplay_watched_actions,0.01168609,567.64,5,Daily,2025-11-05,2025-12-28T22:15:05+0100,"RET | video lungo - F"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_1",inactive,3617,2838,1.274489,14.506497,27,0.951374,1.943333,583,45,20,14,10,10,3,,,1,52.47,,,,52.47,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_situazione_particolare",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_5",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_3",active,67996,47058,1.44494,6.795988,451,0.958392,0.989507,12033,1086,654,404,236,182,4,,,56,8.251786,31,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.90645161,462.1,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_7",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_4",active,44687,26416,1.691664,10.354689,280,1.059964,1.532185,5734,530,285,196,116,106,3,,,46,10.05913,25,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,18.5088,462.72,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ad_6",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  best creative",not_delivering,78757,47304,1.664912,3.67561,697,1.473448,0.393315,22619,2803,1488,1045,628,554,6,,,24,12.061667,24,conversions:offsite_conversion.fb_pixel_custom.generate_lead,12.06166667,289.48,"Using campaign budget",0,2025-11-10,0,"RET | CBO | 25% VV video lungo > VSL"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: CHIARA_MAZZETTO_+_BODY_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO",inactive,27007,18452,1.463635,15.435628,362,1.961847,1.120618,8988,580,323,210,133,91,6,,,46,9.062391,26,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.03346154,416.87,15,Daily,2025-11-11,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  best creative",active,865979,488267,1.773577,6.320846,8288,1.697432,0.614956,242791,33496,17917,12095,6423,5169,6,,,639,8.566072,638,conversions:offsite_conversion.fb_pixel_custom.generate_lead,8.57949843,5473.72,"Using campaign budget",0,2025-11-12,0,"CBO | cold | scaling"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  SUSY_-_Vuoi_guadagnare_senza_fare_niente",active,132571,97396,1.361154,3.481154,3549,3.643887,0.118364,40481,7608,5291,2972,1638,930,10,,,594,0.776936,323,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,1.42879257,461.5,15,Daily,2025-11-19,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  CENA IN FAMIGLIA",inactive,42023,28813,1.458474,9.907908,444,1.540971,0.76117,10150,3052,1522,893,473,440,4,,,31,13.430968,21,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,19.82666667,416.36,15,Daily,2025-11-19,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: PERSONE_NON_CREDONO",inactive,37703,21454,1.757388,11.110522,381,1.775893,1.002153,5627,1080,750,469,276,243,3,,,43,9.74186,18,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,23.27222222,418.9,15,Daily,2025-11-27,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: FORESTA",archived,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-27,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  FORESTA 2",active,41832,23871,1.752419,9.986852,474,1.985673,0.643713,8386,4488,2642,1105,677,617,5,,,17,24.574706,9,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,46.41888889,417.77,15,Daily,2025-12-03,2025-12-03T23:38:19+0100,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+: ALESSIA URLA A LUCA",active,33508,21106,1.587605,8.949803,218,1.032882,1.309563,6835,828,441,251,152,136,5,,,11,27.262727,10,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,29.989,299.89,15,Daily,2025-12-11,0,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  Angelo_nonna_1",active,5795,5125,1.130732,4.874892,46,0.897561,0.576531,1666,366,186,125,50,48,7,,,5,5.65,2,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.125,28.25,15,Daily,2025-12-29,2025-12-29T23:47:17+0100,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  Angelo_nonna_2",active,6225,5443,1.143671,4.567068,53,0.973728,0.526481,1781,374,197,127,51,47,7,,,2,14.215,1,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,28.43,28.43,15,Daily,2025-12-29,2025-12-29T23:47:16+0100,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  best creative",active,4517,4209,1.073177,4.691167,80,1.900689,0.258415,1286,215,144,94,52,37,9,,,11,1.926364,11,conversions:offsite_conversion.fb_pixel_custom.generate_lead,1.92636364,21.19,"Using campaign budget",0,2025-12-30,2025-12-30T00:07:12+0100,"RET | CBO > VSL"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  SUSY_arrivare_a_fine_mese",active,5247,4619,1.13596,5.363065,61,1.320632,0.461311,1266,247,139,76,64,53,7,,,8,3.5175,5,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,5.628,28.14,15,Daily,2025-12-30,2025-12-30T00:21:56+0100,"Test LDP"
2025-12-01,2025-12-31,"M/F_25-45_ADV+:  SUSY_dentista",active,6273,5762,1.088684,4.602264,58,1.006595,0.481167,1441,377,208,98,54,43,7,,,4,7.2175,2,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,14.435,28.87,15,Daily,2025-12-30,2025-12-30T00:21:56+0100,"Test LDP"
2025-12-01,2025-12-31,"IG -> DM  - upload 2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:52+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-31,"IG -> DM  - profile 1",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:42+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-31,"IG -> DM  - profile 2",not_delivering,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:47+0200,"LDP | social funnel | DM"
2025-12-01,2025-12-31,"IG -> DM  - profile 3",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,5,Daily,2025-09-24,2025-09-24T00:31:48+0200,"LDP | social funnel | DM"
