"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (EUR)","Unique link clicks","Unique CTR (link click-through rate)","CPC (cost per link click) (EUR)","3-second video plays","Video plays at 25%","Video plays at 50%","Video plays at 75%","Video plays at 95%","Video plays at 100%","Video average play time","Content views","Cost per content view (EUR)",Leads,"Cost per lead (EUR)",Results,"Result indicator","Cost per results","Amount spent (EUR)","Ad set budget","Ad set budget type","Date created","Last significant edit","Campaign name"
2025-12-01,2025-12-14,,0,1284571,612635,2.096797,5.253832,,1.51232,,,,,,,,00:00:00,,,,,,,,6748.92,0,0,0,0,
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_BIANCO_E_NERO_MOLTI_MI_CHIEDONO_MARCO_MA_COME_SI_FA_A..._+_VIDEO_AD_3K_AL_MESE_DA_CASA_CON_60_O_90_MINUTI_AL_GIORNO_V",active,46875,40037,1.170792,4.794027,324,0.809251,0.674835,12791,1107,569,384,179,126,6,,,23,9.770435,22,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,10.21454545,224.72,15,Daily,2025-10-20,2025-11-10T03:28:15+0100,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  HOOK_BRUTTO_BASTARDO_+_BODY_RISPOSTA_COMMENTO_NEGATIVO_1 - Copy",active,41430,32100,1.290654,5.013758,413,1.286604,0.469955,8725,1837,615,322,178,134,5,,,49,4.239184,31,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,6.70064516,207.72,15,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  VIDEO_AD_ALESSIA_PASCARELLA_-_LANCIO_2_STORE_N - Copy",active,94915,84395,1.124652,4.387294,759,0.899342,0.524458,22754,4061,2023,1343,628,544,5,,,73,5.704384,53,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,7.85698113,416.42,30,Daily,2025-10-20,2025-10-20T14:01:21+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: Video_ad_educational - Copy",active,41043,33513,1.224689,5.080282,193,0.575896,1.04255,7918,1621,756,519,318,262,4,,,24,8.687917,15,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,13.90066667,208.51,15,Daily,2025-10-20,2025-11-17T21:09:52+0100,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+:  BOX_DOMANDE - Copia  pixel",active,38970,24916,1.564055,10.670772,371,1.489003,0.994833,6255,1577,846,355,266,242,3,,,33,12.601212,22,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,18.90181818,415.84,30,Daily,2025-10-20,2025-10-20T14:03:14+0200,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: Video_ad_educational - CON COMMENTI",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-10-29,2025-10-29T22:06:13+0100,"Test LDP"
2025-12-01,2025-12-14,"50% ads view 90 days",active,148627,75352,1.972436,1.859622,2,0.002654,138.195,94686,336,206,122,95,82,12,,,,,21725,video_thruplay_watched_actions,0.01272221,276.39,20,Daily,2025-10-31,2025-11-08T17:09:52+0100,"RET | video lungo"
2025-12-01,2025-12-14,"50% ads view 90 days",active,141976,84406,1.682061,1.945963,1,0.001185,276.28,93640,179,86,65,49,45,13,,,,,21450,video_thruplay_watched_actions,0.01288019,276.28,20,Daily,2025-11-05,2025-11-08T17:09:48+0100,"RET | video lungo - F"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: ad_1",inactive,3617,2838,1.274489,14.506497,27,0.951374,1.943333,583,45,20,14,10,10,3,,,1,52.47,,,,52.47,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: ad_situazione_particolare",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: ad_2",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: ad_5",inactive,0,0,0,0,,0,,,,,,,,00:00:00,,,,,,,,0,15,Daily,2025-11-06,0,"Test LDP"
2025-12-01,2025-12-14,"M/F_25-45_ADV+: ad_3",active,32462,24593,1.319969,6.420738,207,0.841703,0.973972,5552,504,310,187,106,83,4,,,25,8.3372,13,conversions:offsite_conversion.fb_pixel_custom.videoask_submitted,16.03307692,208.43,15,Daily,2025-11-06,0,"Test LDP"
